maxPutTime,maxPutListTime + ,maxGetTime,maxGetListTime,maxDeleteTime,maxDeleteListTime,putRollingAverage,putListRollingAverage,getRollingAverage,getListRollingAverage,deleteRollingAverage,deleteListRollingAverage,putRollingMax,putListRollingMax,getRollingMax,getListRollingMax,deleteRollingMax,deleteListRollingMax,putPrimary,putFailover,putListPrimary,putListFailover,getPrimary,getFailover,getListPrimary,getListFailover,deletePrimary,deleteFailover,deleteListPrimary,deleteListFailover
332,0,0,0,0,0,29,0,0,0,0,0,307,0,0,0,0,0,1290,1611,0,0,0,0,0,0,0,0,0,0
332,0,0,0,0,0,26,0,0,0,0,0,56,0,0,0,0,0,1290,1711,0,0,0,0,0,0,0,0,0,0
332,0,0,0,0,0,10,0,0,0,0,0,27,0,0,0,0,0,1366,1735,0,0,0,0,0,0,0,0,0,0
332,0,0,0,0,0,6,0,0,0,0,0,14,0,0,0,0,0,1466,1735,0,0,0,0,0,0,0,0,0,0
332,0,0,0,0,0,7,0,0,0,0,0,26,0,0,0,0,0,1562,1739,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,10,0,0,0,0,0,387,0,0,0,0,0,1660,1741,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,7,0,0,0,0,0,30,0,0,0,0,0,1756,1745,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,6,0,0,0,0,0,26,0,0,0,0,0,1852,1749,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,7,0,0,0,0,0,27,0,0,0,0,0,1944,1757,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,6,0,0,0,0,0,27,0,0,0,0,0,2040,1761,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,7,0,0,0,0,0,26,0,0,0,0,0,2132,1769,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,9,0,0,0,0,0,346,0,0,0,0,0,2230,1771,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,6,0,0,0,0,0,26,0,0,0,0,0,2326,1775,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,7,0,0,0,0,0,27,0,0,0,0,0,2418,1783,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,5,0,0,0,0,0,12,0,0,0,0,0,2518,1783,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,6,0,0,0,0,0,27,0,0,0,0,0,2614,1787,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,9,0,0,0,0,0,26,0,0,0,0,0,2698,1803,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,5,0,0,0,0,0,11,0,0,0,0,0,2798,1803,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,10,0,0,0,0,0,106,0,0,0,0,0,2878,1823,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,2978,1823,0,0,0,0,0,0,0,0,0,0
