maxPutTime,maxPutListTime + ,maxGetTime,maxGetListTime,maxDeleteTime,maxDeleteListTime,putRollingAverage,putListRollingAverage,getRollingAverage,getListRollingAverage,deleteRollingAverage,deleteListRollingAverage,putRollingMax,putListRollingMax,getRollingMax,getListRollingMax,deleteRollingMax,deleteListRollingMax,putPrimary,putFailover,putListPrimary,putListFailover,getPrimary,getFailover,getListPrimary,getListFailover,deletePrimary,deleteFailover,deleteListPrimary,deleteListFailover
127,0,0,0,0,0,127,0,0,0,0,0,127,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,7,0,0,0,0,0,11,0,0,0,0,0,100,1,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,7,0,0,0,0,0,22,0,0,0,0,0,200,1,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,10,0,0,0,0,0,34,0,0,0,0,0,287,14,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,11,0,0,0,0,0,31,0,0,0,0,0,372,29,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,13,0,0,0,0,0,29,0,0,0,0,0,438,63,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,6,0,0,0,0,0,11,0,0,0,0,0,537,64,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,16,0,0,0,0,0,29,0,0,0,0,0,593,108,0,0,0,0,0,0,0,0,0,0
226,0,0,0,0,0,28,0,0,0,0,0,226,0,0,0,0,0,593,208,0,0,0,0,0,0,0,0,0,0
226,0,0,0,0,0,26,0,0,0,0,0,93,0,0,0,0,0,593,308,0,0,0,0,0,0,0,0,0,0
226,0,0,0,0,0,26,0,0,0,0,0,95,0,0,0,0,0,593,408,0,0,0,0,0,0,0,0,0,0
226,0,0,0,0,0,25,0,0,0,0,0,32,0,0,0,0,0,593,508,0,0,0,0,0,0,0,0,0,0
226,0,0,0,0,0,25,0,0,0,0,0,28,0,0,0,0,0,593,608,0,0,0,0,0,0,0,0,0,0
226,0,0,0,0,0,27,0,0,0,0,0,196,0,0,0,0,0,593,708,0,0,0,0,0,0,0,0,0,0
438,0,0,0,0,0,30,0,0,0,0,0,438,0,0,0,0,0,593,808,0,0,0,0,0,0,0,0,0,0
438,0,0,0,0,0,6,0,0,0,0,0,26,0,0,0,0,0,678,823,0,0,0,0,0,0,0,0,0,0
438,0,0,0,0,0,9,0,0,0,0,0,27,0,0,0,0,0,763,838,0,0,0,0,0,0,0,0,0,0
438,0,0,0,0,0,6,0,0,0,0,0,26,0,0,0,0,0,859,842,0,0,0,0,0,0,0,0,0,0
438,0,0,0,0,0,6,0,0,0,0,0,25,0,0,0,0,0,956,845,0,0,0,0,0,0,0,0,0,0
438,0,0,0,0,0,5,0,0,0,0,0,13,0,0,0,0,0,1056,845,0,0,0,0,0,0,0,0,0,0
438,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,1156,845,0,0,0,0,0,0,0,0,0,0
438,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,1256,845,0,0,0,0,0,0,0,0,0,0
820,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,1352,849,0,0,0,0,0,0,0,0,0,0
820,0,0,0,0,0,6,0,0,0,0,0,25,0,0,0,0,0,1451,850,0,0,0,0,0,0,0,0,0,0
820,0,0,0,0,0,8,0,0,0,0,0,26,0,0,0,0,0,1539,862,0,0,0,0,0,0,0,0,0,0
820,0,0,0,0,0,6,0,0,0,0,0,27,0,0,0,0,0,1634,867,0,0,0,0,0,0,0,0,0,0
820,0,0,0,0,0,6,0,0,0,0,0,45,0,0,0,0,0,1733,868,0,0,0,0,0,0,0,0,0,0
820,0,0,0,0,0,7,0,0,0,0,0,26,0,0,0,0,0,1825,876,0,0,0,0,0,0,0,0,0,0
820,0,0,0,0,0,6,0,0,0,0,0,26,0,0,0,0,0,1923,878,0,0,0,0,0,0,0,0,0,0
820,0,0,0,0,0,5,0,0,0,0,0,26,0,0,0,0,0,2021,880,0,0,0,0,0,0,0,0,0,0
820,0,0,0,0,0,7,0,0,0,0,0,27,0,0,0,0,0,2112,889,0,0,0,0,0,0,0,0,0,0
820,0,0,0,0,0,6,0,0,0,0,0,26,0,0,0,0,0,2209,892,0,0,0,0,0,0,0,0,0,0
820,0,0,0,0,0,5,0,0,0,0,0,25,0,0,0,0,0,2308,893,0,0,0,0,0,0,0,0,0,0
820,0,0,0,0,0,9,0,0,0,0,0,221,0,0,0,0,0,2401,900,0,0,0,0,0,0,0,0,0,0
820,0,0,0,0,0,5,0,0,0,0,0,26,0,0,0,0,0,2499,902,0,0,0,0,0,0,0,0,0,0
820,0,0,0,0,0,5,0,0,0,0,0,27,0,0,0,0,0,2598,903,0,0,0,0,0,0,0,0,0,0
820,0,0,0,0,0,10,0,0,0,0,0,138,0,0,0,0,0,2683,918,0,0,0,0,0,0,0,0,0,0
820,0,0,0,0,0,5,0,0,0,0,0,25,0,0,0,0,0,2781,920,0,0,0,0,0,0,0,0,0,0
820,0,0,0,0,0,7,0,0,0,0,0,76,0,0,0,0,0,2877,924,0,0,0,0,0,0,0,0,0,0
820,0,0,0,0,0,7,0,0,0,0,0,63,0,0,0,0,0,2971,930,0,0,0,0,0,0,0,0,0,0
820,0,0,0,0,0,6,0,0,0,0,0,26,0,0,0,0,0,3068,933,0,0,0,0,0,0,0,0,0,0
820,0,0,0,0,0,6,0,0,0,0,0,32,0,0,0,0,0,3163,938,0,0,0,0,0,0,0,0,0,0
820,0,0,0,0,0,7,0,0,0,0,0,126,0,0,0,0,0,3260,941,0,0,0,0,0,0,0,0,0,0
820,0,0,0,0,0,5,0,0,0,0,0,23,0,0,0,0,0,3360,941,0,0,0,0,0,0,0,0,0,0
820,0,0,0,0,0,5,0,0,0,0,0,26,0,0,0,0,0,3458,943,0,0,0,0,0,0,0,0,0,0
820,0,0,0,0,0,11,0,0,0,0,0,106,0,0,0,0,0,3510,991,0,0,0,0,0,0,0,0,0,0
820,0,0,0,0,0,5,0,0,0,0,0,12,0,0,0,0,0,3510,1091,0,0,0,0,0,0,0,0,0,0
820,0,0,0,0,0,6,0,0,0,0,0,42,0,0,0,0,0,3510,1191,0,0,0,0,0,0,0,0,0,0
820,0,0,0,0,0,9,0,0,0,0,0,246,0,0,0,0,0,3510,1291,0,0,0,0,0,0,0,0,0,0
820,0,0,0,0,0,6,0,0,0,0,0,21,0,0,0,0,0,3510,1391,0,0,0,0,0,0,0,0,0,0
820,0,0,0,0,0,8,0,0,0,0,0,210,0,0,0,0,0,3510,1491,0,0,0,0,0,0,0,0,0,0
820,0,0,0,0,0,5,0,0,0,0,0,15,0,0,0,0,0,3510,1591,0,0,0,0,0,0,0,0,0,0
820,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,3510,1691,0,0,0,0,0,0,0,0,0,0
820,0,0,0,0,0,11,0,0,0,0,0,430,0,0,0,0,0,3510,1791,0,0,0,0,0,0,0,0,0,0
